,ID,Name,FoodPreference,Age,Sex,Kitchen,Kitchen_Story,Kitchen_Longitude,Kitchen_Latitude,ID_2,Name_2,Age_2,Sex_2
1,1000,Grazyna Schamberger,veggie,58,female,no,0,1.689204574579645,26.324989804531562,,,,
2,2000,Elvis Sipes,vegan,4,male,no,6,34.74679924901737,76.54445951185355,,,,
3,3000,Georgina Medhurst,veggie,69,male,no,4,51.84116440192132,89.96323381244066,,,,
4,4000,Hortense Ankunding,none,59,other,maybe,6,46.62873880316979,73.98669266475275,,,,
5,5000,Brenton Greenfelder,none,39,male,no,4,2.2760831068417104,51.10210692844467,,,,
6,6000,Steffanie Ryan,vegan,8,other,yes,9,35.06502629435309,73.8172208796354,,,,
7,7000,Dean Bergnaum,veggie,29,female,no,9,72.76860326119201,81.65739447882835,,,,
8,8000,Kaylee Renner,veggie,69,male,no,7,3.12530315902379,19.85071765345072,,,,
9,9000,Noelia Block,vegan,54,male,maybe,5,23.142616379138556,7.32430143131806,,,,
10,10000,Myrta Watsica,vegan,2,female,yes,8,82.79518602303361,57.06584877763595,,,,
11,11000,Dustin Runolfsson,meat,4,male,no,8,1.0573746711616956,96.01929321024409,,,,
12,12000,Everett Bosco,veggie,27,female,maybe,2,4.361461679329617,7.423884228932241,,,,
13,13000,Shelton Cruickshank,none,39,female,maybe,1,56.69035012062125,31.40769101266945,,,,
14,14000,Pasquale Howell,vegan,35,male,yes,8,81.7830179996698,52.115618749767286,,,,
15,15000,Alica Hickle,veggie,37,male,no,0,91.36100244534617,61.90839041930496,,,,
16,16000,Joni Hahn,vegan,56,female,maybe,1,65.51331957844687,92.56932414842402,,,,
17,17000,Genaro Yost,veggie,63,female,maybe,1,55.99835621547848,22.693790628601764,,,,
18,18000,Richie Beer,none,38,male,no,6,11.322242068957442,43.611979797196646,,,,
19,19000,Kent Altenwerth,veggie,60,other,yes,6,38.8772720982745,92.9113956594854,,,,
20,20000,Elisha Franecki,veggie,47,other,maybe,3,52.6498757920087,74.62668946348649,,,,
21,21000,Jeremy Langosh,vegan,84,female,yes,8,44.943712450210576,73.61970228002528,,,,
22,22000,Elease Weissnat,none,97,male,yes,6,2.0533155610951455,95.20230489722822,,,,
23,23000,Tobias Legros,none,2,female,yes,9,47.21034615210941,2.2233680109884952,,,,
24,24000,Chas Sauer,vegan,69,male,no,3,52.122248542254454,67.6916304138278,,,,
25,25000,Pearle Brown,veggie,88,male,no,9,29.20414792362901,47.479833670059,,,,
26,26000,Leo Reichel,none,45,female,maybe,1,63.15106819470573,51.560505090752,,,,
27,27000,Glenn Hickle,vegan,39,male,yes,3,4.706702646162601,7.1461695181308995,,,,
28,28000,Denna Hahn,vegan,84,female,yes,0,70.70061040136473,15.001873641575397,,,,
29,29000,Porter Gibson,none,61,female,maybe,1,36.679635009733886,87.36723958246827,,,,
30,30000,Noella Larson,meat,30,other,yes,6,34.09785814387976,55.97108840995921,,,,
31,31000,King Leffler,none,50,male,yes,6,46.75415883510309,88.53061130131339,,,,
32,32000,Hilario Leuschke,none,13,male,no,4,7.562568887764861,55.97883983337354,,,,
33,33000,Tisha Wolf,none,16,male,maybe,6,37.49579913394882,14.807022000470171,,,,
34,34000,Leontine Kohler,none,3,other,no,5,12.921983994178424,80.48157187351741,,,,
35,35000,Hipolito Brown,none,59,female,yes,7,23.40614468638721,59.444053329119264,,,,
36,36000,Ivory Friesen,none,91,male,yes,9,79.22162384998582,92.54907166481472,,,,
37,37000,Don Kuphal,meat,89,male,no,5,88.54895832852588,41.38906440347463,,,,
38,38000,Garnett Carroll,veggie,61,male,maybe,1,97.1083148637368,24.260294519419904,,,,
39,39000,Rozanne Ernser,vegan,38,male,yes,5,45.93521363482447,5.031184317642872,,,,
40,40000,Young Hettinger,none,97,female,maybe,5,53.3774179966261,61.19053315324509,,,,
41,41000,Olympia Wuckert,none,4,female,no,7,26.668410068636526,26.728140758137297,,,,
42,42000,Tanika DuBuque,vegan,70,female,yes,1,30.349634849592622,22.4909909322833,,,,
43,43000,Millard Lowe,veggie,69,female,maybe,8,30.52444573768883,83.27394309136595,,,,
44,44000,Michal Goodwin,veggie,2,other,maybe,0,33.377575995235624,30.43578209891261,,,,
45,45000,Edith Herman,vegan,50,female,yes,6,42.929596440981356,50.144672823678526,,,,
46,46000,Enedina Abbott,meat,11,female,yes,5,32.916837925060356,27.207926158406853,,,,
47,47000,Vernie Yost,none,12,other,yes,9,16.196772813655524,50.51946167376824,,,,
