,ID,Name,FoodPreference,Age,Sex,Kitchen,Kitchen_Story,Kitchen_Longitude,Kitchen_Latitude,ID_2,Name_2,Age_2,Sex_2
1,1000,Drema Boehm,vegan,72,other,no,2,75.92319308081369,77.23753808954093,,,,
2,2000,Ailene Barrows,veggie,33,male,maybe,6,78.93999334970859,13.641701039081537,,,,
3,3000,Isidro Rath,veggie,11,other,no,8,90.129748983131,82.7594688639391,,,,
4,4000,Forest Cole,meat,48,female,no,1,9.911691118930221,48.48044386755873,,,,
5,5000,Rosio Prosacco,veggie,92,female,yes,3,53.035203352067434,26.514954451299104,,,,
6,6000,Norbert Botsford,veggie,20,male,yes,1,30.429065586639194,54.08397381081942,,,,
7,7000,Clay Dach,vegan,53,male,yes,6,90.5685795250326,17.86208156300435,,,,
8,8000,Brandon Stiedemann,veggie,26,other,maybe,8,72.11830345049766,29.302365257769985,,,,
9,9000,Lawrence Goodwin,vegan,25,female,no,2,68.45461377952508,3.1722666043963024,,,,
10,10000,Robert Windler,meat,63,other,yes,4,68.58730838813258,75.40326873138284,,,,
11,11000,Gerald Heaney,vegan,42,male,no,2,39.348659932374474,79.2143607644647,,,,
12,12000,Chung Breitenberg,none,48,other,yes,0,46.75407245208381,75.04572632514781,,,,
13,13000,Berry Kulas,meat,11,male,no,7,53.339037457871164,90.18210853891986,,,,
14,14000,Milton Gleichner,vegan,64,female,yes,7,70.3504281050949,67.62320962444502,,,,
15,15000,Mark Labadie,meat,79,other,yes,5,77.3173691679774,61.74489099480709,,,,
16,16000,Danica Ratke,meat,23,male,no,8,93.81048773919814,6.81705690733218,,,,
17,17000,Jody Flatley,vegan,91,female,maybe,5,16.185021033675383,79.31984751026619,,,,
18,18000,Johnnie Dach,vegan,27,female,maybe,5,74.94813578336623,54.262968766434376,,,,
19,19000,Jody Cremin,veggie,77,male,no,1,23.346598722865163,85.30092227630794,,,,
20,20000,Milton Bergstrom,veggie,60,male,yes,5,84.65643376911272,43.08911898959118,,,,
21,21000,Long Kovacek,veggie,11,female,no,8,20.97040459280447,36.949620079518496,,,,
22,22000,Tomasa Oberbrunner,meat,38,male,no,2,94.6006387077737,56.666973087590264,,,,
23,23000,Bob Kihn,meat,58,other,maybe,2,88.12987521481737,77.95593457721381,,,,
24,24000,Armida Hermann,meat,73,other,yes,4,88.71303938056684,88.53465934392861,,,,
25,25000,Delia Larson,none,23,female,maybe,7,39.62158241421671,67.3572044276261,,,,
26,26000,Ila Kub,meat,49,male,yes,6,82.05374110771953,38.201769889884645,,,,
27,27000,Leslie Kunde,vegan,23,other,yes,1,28.595387240087373,25.67539938678237,,,,
28,28000,Brendon Beier,veggie,94,female,no,7,58.7449329384962,36.50684387082196,,,,
29,29000,Lauren Lesch,veggie,26,female,maybe,1,42.45729163337085,47.47043033304795,,,,
30,30000,Eleonore Mann,meat,50,female,yes,0,25.019788906312286,49.530208476563004,,,,
31,31000,Tilda McCullough,veggie,99,female,yes,6,5.402941460653113,98.77936666173028,,,,
32,32000,Karissa Hilpert,veggie,96,male,maybe,1,77.1105223601434,44.170235682647075,,,,
33,33000,Toni Schuppe,meat,52,male,no,0,75.81911271119587,90.1514588071409,,,,
34,34000,Aron Hackett,veggie,46,other,yes,0,10.012890939079275,73.8783808681707,,,,
35,35000,Teresa Conn,meat,18,female,maybe,4,71.72551014611652,96.21378887157428,,,,
36,36000,Willie Brakus,veggie,30,other,maybe,4,98.53593063925432,58.116212442397156,,,,
37,37000,Winston Cruickshank,vegan,18,other,maybe,9,20.270839272591882,23.453196554133527,,,,
38,38000,Joel O'Conner,veggie,75,female,yes,4,16.934252608877728,36.2404951269623,,,,
39,39000,Lavern Grimes,vegan,18,male,no,0,30.55665164253291,86.91014717936866,,,,
40,40000,Virginia Heller,vegan,77,other,no,3,98.05568386049615,55.85569986889239,,,,
41,41000,Marylynn Feest,meat,30,other,no,3,79.93445252920306,94.91045538976718,,,,
42,42000,Maria Rohan,meat,92,male,yes,5,57.833548183853175,71.35536243483608,,,,
43,43000,Hilton Larkin,veggie,98,male,yes,0,35.16095283229997,18.950856836946095,,,,
44,44000,Serita Kunde,vegan,0,other,maybe,1,63.955283108538175,8.827858905263286,,,,
45,45000,Tran Carroll,veggie,70,male,no,2,66.61897258911324,62.808754543986716,,,,
46,46000,Riley Stokes,veggie,45,other,no,8,69.89329269666977,75.5833013377611,,,,
47,47000,Vincent Wunsch,veggie,57,male,maybe,4,30.703532106811203,2.556530106276453,,,,
48,48000,Paul Hahn,vegan,22,female,no,1,4.451894315209466,13.93357118723106,,,,
49,49000,Evalyn Funk,veggie,22,other,maybe,5,63.030628141943815,76.61357406386101,,,,
50,50000,Warner Abernathy,vegan,12,female,yes,1,86.22244624650365,1.8414119545738443,,,,
51,51000,Dee Kirlin,meat,24,female,maybe,5,41.90327131568923,81.57575552915254,,,,
52,52000,Erick O'Reilly,meat,56,female,maybe,4,66.95575938719861,79.70377373521299,,,,
53,53000,Audrea Champlin,veggie,8,male,yes,8,43.85383418862827,18.55800543274096,,,,
54,54000,Bryan Fritsch,veggie,92,other,yes,6,24.162020695758493,7.884279503011145,,,,
55,55000,Flo Gutmann,meat,67,female,maybe,2,40.57554386176418,74.16362584049678,,,,
56,56000,Christiana Breitenberg,veggie,45,other,maybe,9,78.16874933576042,21.648600485625764,,,,
57,57000,Adolfo Erdman,meat,48,female,no,8,82.87146718800888,9.697623329477006,,,,
58,58000,Sonny Murphy,vegan,98,male,maybe,0,64.89179987200383,14.749487570451585,,,,
59,59000,Bryan Gibson,meat,31,male,no,9,14.823655397999751,54.50040474039228,,,,
60,60000,Daron Rau,veggie,87,other,no,8,80.84741852263343,67.385548248116,,,,
61,61000,Wiley Kunde,meat,25,other,no,3,2.435647702320618,29.555017079438826,,,,
62,62000,Trey Schultz,veggie,48,female,no,4,4.018435355840106,96.42728007037545,,,,
63,63000,Wilson Medhurst,vegan,19,female,maybe,4,75.7974237007742,10.4897224782825,,,,
64,64000,Shiela Hayes,vegan,93,other,no,8,35.99522431624582,3.024710705145409,,,,
65,65000,Ahmed Baumbach,veggie,68,female,no,3,98.71912644308266,6.073506530598285,,,,
66,66000,Leanora Koch,veggie,57,other,maybe,7,82.0297585905132,11.558568279720093,,,,
67,67000,Francisco Hammes,vegan,69,female,no,6,96.69607258954525,80.02137598963924,,,,
68,68000,Alycia Sanford,meat,56,male,maybe,4,36.04236691414599,31.12507357475307,,,,
69,69000,Joshua Adams,veggie,34,male,no,4,81.2474782461081,10.28523197453646,,,,
70,70000,Antione Reilly,vegan,95,female,maybe,0,28.61321988277648,54.28327733596804,,,,
71,71000,Carolyne Larkin,none,82,female,no,9,52.0795903547636,26.23706805997623,,,,
72,72000,So Hayes,veggie,72,other,yes,2,31.400944264698474,90.40900519659343,,,,
73,73000,Summer Bernier,vegan,68,female,maybe,3,40.42975952003722,49.86088047630843,,,,
74,74000,Winona Roberts,veggie,62,other,maybe,3,21.41693513921882,62.81276473645034,,,,
75,75000,Elfrieda Hayes,meat,56,female,no,9,78.09046849983527,18.310918008362016,,,,
76,76000,Jessie Cronin,vegan,15,male,yes,7,82.26064389222564,32.57180901574432,,,,
77,77000,Edgar Howell,meat,49,female,yes,7,50.87160594267401,69.766290239145,,,,
78,78000,Darnell Auer,meat,7,male,yes,4,36.04820220853961,76.59693974972595,,,,
79,79000,Dora Kiehn,none,40,male,maybe,9,90.56196593682533,62.05987127255746,,,,
